####################################################################################################
# ACE v0.9d+ Filelists                                                                             #
####################################################################################################
# Format:                                                                                          #
# <Whitelist identifier>                                                                           #
# <FileName><TAB>+<FileSize><TAB>+<MD5 Hash><TAB>+<File Identifier><TAB>+<Hacked>?                 #
# <FileName><TAB>+<FileSize><TAB>+<MD5 Hash><TAB>+<File Identifier><TAB>+<Hacked>?                 #
# <Signature>                                                                                      #
#                                                                                                  #
# Guidelines:                                                                                      #
# > Values must be separated by one or more tabs (hence: <TAB>+)                                   #
# > <FileSize> = -1 => All sizes allowed                                                           #
# > <MD5 Hash> = x  => All hashes allowed                                                          #
# > The <Hacked> value is optional                                                                 #
# > Empty lines are ignored                                                                        #
# > Anything behind a '#' char is ignored                                                          #
#                                                                                                  #
####################################################################################################
ACE_20241228_A

##################################################################################################################################
# Filename              Size            MD5 Hash                                Identifier                              Hacked?  #
##################################################################################################################################
ACEV06B_C.DLL			1069056			2F0E4954D3156896871D8CC595062EC4		ACE v0.6b for UT
ACEV06B_C_DEMO.DLL		1064960			67E155B2441F2F2885F42FCFD03D6C90		ACE v0.6b for UT DEMO
ACEV06B_C_DEMO.U		33217			3E05595CA362387D7DCFF9040D72D2FD		ACE v0.6b for UT DEMO
ACEV06C_C.DLL			1064960			3CB98C8AA38A4869E80E993988FABAD2		ACE v0.6c for UT
ACEV06H_C.DLL			1069056			EB2F09CD7E04ED6EF70D42DFC93D3052		ACE v0.6h for UT
ACEV06P_C.DLL			-1				x										ACE v0.6p for UT
ACEV06P_C_DEMO.DLL		-1				x										ACE v0.6p for UT DEMO
ACEV06Q_C.DLL			1077248			B4904AB3A8025FBD41DFF64D474F9DDB		ACE v0.6q for UT
ACEV06Q_C.U				46455			213A05BB8B22D5A15252E56005D2BEEE		ACE v0.6q for UT
ACEV07F_C.DLL			-1				x										ACE v0.7f for UT
ACEV07F_C.U				-1				x										ACE v0.7f for UT
ACEV08B_C.DLL			-1				x										ACE v0.8b for UT
ACEV08B_C.U				-1				x										ACE v0.8b for UT
ACEV08C_C.DLL			-1				x										ACE v0.8c for UT
ACEV08C_C.U				-1				x										ACE v0.8c for UT
ACEV08C_C_DEMO.DLL		-1				x										ACE v0.8c for UT DEMO
ACEV08E_C.DLL			-1				x										ACE v0.8e for UT
ACEV08E_C.U				-1				x										ACE v0.8e for UT
ACEV08F_C.DLL			-1				x										ACE v0.8f for UT
ACEV08F_C.U				-1				x										ACE v0.8f for UT
ACEV08G_C.DLL			-1				x										ACE v0.8g for UT
ACEV08G_C.U				-1				x										ACE v0.8g for UT
ACEV08H_C.DLL			-1				x										ACE v0.8h for UT
ACEV08H_C.U				-1				x										ACE v0.8h for UT
ACEV08I_C.DLL			-1				x										ACE v0.8i for UT
ACEV08I_C.U				-1				x										ACE v0.8h for UT
ACEV08_C.DLL			-1				x										ACE v0.8 for UT
ACEV08_C.U				-1				x										ACE v0.8 for UT
ACEV09B_C.DLL			-1				x										ACE v0.9b for UT
ACEV09B_C.U				-1				x										ACE v0.8h for UT
ACEV09C_C.DLL			-1				x										ACE v0.9c for UT
ACEV09C_C.U				-1				x										ACE v0.8h for U
ACEV09D_C.DLL			-1				x										ACE v0.9d for UT
ACEV09D_C.U				-1				x										ACE v0.8h for UT
ACEV09_C.DLL			-1				x										ACE v0.9 for UT
ACEV09_C.U				-1				x										ACE v0.8h for UT
ACEV10B_C.DLL			593920			F7B7D28F5DD43A6426C7BAA56C48B330		ACE v1.0b for UT
ACEV10B_C.DLL			593920			E078DADD5BC409BE0A1E05CDD653D093		ACE v1.0b for UT
ACEV10B_C.DLL			592896			55C4962FDCF448BF6A7B2ADEA0647286		ACE v1.0b for UT
ACEV10B_C.U				25168			C508674235143001AD9E451CD337A186		ACE v1.0b for UT
ACEV10C_C.DLL			593408			1E22A3088C1E0535C4FB6C06F523E1ED		ACE v1.0c for UT
ACEV10C_C.DLL			593408			14146EC3EEE577022153F56357137EC3		ACE v1.0c for UT
ACEV10C_C.DLL			592384			171B597222A9A0D8D24FC554CD5E19AA		ACE v1.0c for UT
ACEV10C_C.U				25168			D2C1DCED87BC78A1224B08D1C9DCF89F		ACE v1.0c for UT
ACEV10D_C.DLL			590336			B69E3E0455C952A8872F8813A2F9C016		ACE v1.0d for UT
ACEV10D_C.DLL			590336			966087EE620EAAD8774AB388E8AD33D9		ACE v1.0d for UT
ACEV10D_C.DLL			589312			5EF92CDE0BF46F7BDFA5CC3EF8B2B338		ACE v1.0d for UT
ACEV10D_C.U				25192			94A1D6EFA3A271247AD5EEA5E72F6AE9		ACE v1.0d for UT
ACEV10E_C.DLL			589824			8BF8029A0F2A11850F868181DC08B53A		ACE v1.0e for UT
ACEV10E_C.DLL			589824			109D9563B3E5322A2DEAA1699D67621B		ACE v1.0e for UT
ACEV10E_C.DLL			589312			129CD28BAA9F9C76D24EC0103F4FDFB7		ACE v1.0e for UT
ACEV10E_C.U				25168			ACC983BCEF827D61E7E2DBA24FAD6C4B		ACE v1.0e for UT
ACEV10F_C.DLL			583680			5E74C602B028E9CFFC84390A181894DC		ACE v1.0f for UT
ACEV10F_C.DLL			583680			84804A0D88F8DB27E40CAABF14A40211		ACE v1.0f for UT
ACEV10F_C.DLL			583168			5AEB9648BF0C92B7BCACDADC06D00B4C		ACE v1.0f for UT
ACEV10F_C.U				25198			9818919004E8ACE18A6D72EE7F5B4CBA		ACE v1.0f for UT
ACEV10G_C.DLL			589824			CF4A1F15666F9042A46877E78CE88064		ACE v1.0g for UT
ACEV10G_C.DLL			589824			E91172E8EA6401325C1FD65F334CEF3C		ACE v1.0g for UT
ACEV10G_C.DLL			588800			C6C33D8D3F81B35992EDF80414A24695		ACE v1.0g for UT
ACEV10G_C.U				25305			E8373476BFC42124388DBC53B0D74D81		ACE v1.0g for UT
